Trip_Distance_km,Traffic_Conditions,Weather,Base_Fare,Trip_Duration_Minutes,Trip_Price
17.21,1.0,2,4.48,106.78,42.8661
4.11,3.0,2,4.1,30.48,11.2613
16.93,1.0,3,2.17,59.09,42.9949
36.75,2.0,1,3.28,105.46,76.2217
44.47,1.0,1,4.79,64.0,59.761300000000006
6.86,3.0,1,2.93,102.45,29.4658
35.95,1.0,1,3.58,6.1,40.4165
28.5,2.0,1,4.92,109.33,105.9418
26.61,1.0,2,3.07,65.91,33.0286
21.95,2.0,1,4.05,44.99,27.865
2.54,1.0,1,2.8,53.11,25.7527
32.18,2.0,2,2.95,87.13,62.4923
25.92,1.0,1,3.97,22.79,58.7766
45.47,1.0,2,2.12,56.93,73.4155
13.22,1.0,2,3.79,51.92,31.99
21.11,3.0,2,4.61,84.06,34.3067
112.8309582902826,3.0,3,3.35,78.63,233.00828520738887
102.74755620694734,2.0,1,2.23,53.09,274.53508679715014
46.56,1.0,1,4.46,119.21,99.8038
40.6,2.0,1,2.73,17.2,29.532000000000004
32.04,1.0,1,3.26,31.8,30.446
43.7,1.0,1,4.52,114.29,106.0042
10.14,3.0,2,2.73,16.24,19.974400000000003
44.74,2.0,1,3.65,6.72,62.8678
27.43,1.0,2,2.58,23.53,52.7821
40.56,2.0,2,2.31,119.54,82.0828
44.91,1.0,2,4.73,25.7,63.0611
6.39,3.0,1,4.28,102.57,51.6275
12.17,1.0,2,2.15,7.35,25.4826
1.34,2.0,1,3.64,37.6,22.718200000000003
26.03,2.0,1,2.27,83.98,76.20850000000002
21.45,2.0,1,4.27,82.54,53.056
6.87,2.0,2,2.56,9.0,14.935
17.54,1.0,2,2.56,52.06,50.696
16.84,2.0,3,2.17,98.03,30.942000000000004
26.42,3.0,1,3.76,97.04,75.22040000000001
18.82,1.0,2,2.05,74.75,22.8766
48.62,1.0,2,2.15,74.49,67.2293
109.61608204688008,3.0,1,4.46,53.88,327.21766546350466
14.96,2.0,2,3.79,66.66,28.5862
2.81,1.0,2,2.82,56.65,27.4942
30.87,2.0,1,2.08,55.61,76.4286
3.52,2.0,2,3.88,87.64,29.4228
45.51,2.0,1,4.23,27.65,36.4958
12.74,1.0,2,4.03,52.47,35.357200000000006
8.1,3.0,1,2.62,31.19,14.6127
24.98,1.0,2,3.06,72.14,52.5934
49.3,1.0,1,2.38,47.72,63.866
12.86,1.0,1,2.39,56.62,39.5698
38.32,2.0,1,4.58,28.41,52.6453
36.68,3.0,2,3.89,106.25,76.6192
19.02,2.0,1,2.55,54.88,35.0028
31.98,2.0,1,2.32,52.39,57.7533
32.04,1.0,1,4.44,9.1,40.8518
5.42,2.0,2,3.85,68.73,30.318
41.93,2.0,2,4.34,69.27,87.6519
3.0,1.0,1,2.17,34.01,19.6645
29.95,2.0,1,4.24,98.23,48.7802
34.2,1.0,1,4.55,113.92,86.1412
1.81,1.0,2,2.86,20.63,12.5567
26.09,2.0,2,3.92,62.23,54.62179999999999
34.86,1.0,1,3.74,21.52,62.895
17.71,2.0,1,2.71,6.06,31.829600000000003
6.56,1.0,1,3.48,97.94,39.4174
43.99,1.0,1,2.64,74.71,66.5363
13.64,2.0,2,2.43,43.75,29.5606
33.34,2.0,1,4.28,72.33,51.2721
41.04,3.0,1,3.5,41.3,63.522400000000005
28.2,1.0,1,4.74,15.0,37.086
17.61,1.0,1,4.26,64.68,58.257000000000005
18.11,1.0,2,2.93,74.66,59.7113
44.47,3.0,1,4.95,59.18,95.1969
39.21,1.0,3,2.88,70.94,54.6348
8.92,1.0,1,3.69,42.14,28.4048
45.03,3.0,1,2.76,32.28,53.2857
5.97,2.0,2,4.69,90.57,44.95569999999999
1.25,1.0,2,3.97,12.8,9.8005
8.88,3.0,1,4.72,88.21,59.96039999999999
27.89,1.0,1,2.51,97.69,31.3844
34.9,2.0,1,4.9,38.29,44.1375
11.99,2.0,2,4.84,54.06,40.839400000000005
16.94,1.0,1,2.56,65.42,25.662
37.58,1.0,3,2.91,84.52,86.22719999999998
42.61,1.0,2,2.43,62.01,72.86829999999999
33.22,1.0,1,2.31,41.02,70.5816
28.85,3.0,1,3.27,91.67,63.9534
130.80900130744172,3.0,1,3.93,88.31,328.8717691378544
48.68,1.0,2,2.59,51.44,58.9584
20.26,1.0,2,2.29,29.7,23.0728
31.93,2.0,1,4.77,37.67,71.4247
39.95,1.0,1,4.46,25.25,59.828
29.27,2.0,2,3.97,33.99,62.982
25.13,2.0,2,3.61,57.23,53.2792
14.76,2.0,1,3.89,49.98,55.71979999999999
2.19,2.0,1,2.8,14.2,6.472899999999999
32.63,2.0,1,2.12,15.33,35.8539
47.08,3.0,2,4.67,73.93,65.587
47.74,3.0,1,3.71,53.16,44.733
45.83,2.0,1,4.5,54.66,88.1462
19.14,1.0,3,4.97,11.2,41.6946
1.76,1.0,1,2.49,64.4,23.3132
46.49,1.0,1,4.08,63.05,118.0321
21.98,2.0,1,4.02,22.2,41.2036
48.22,2.0,1,4.96,19.21,105.144
42.8,3.0,2,4.06,16.62,57.55120000000001
15.43,3.0,1,2.73,75.12,29.0991
16.53,2.0,1,4.34,24.96,21.4931
9.31,1.0,2,4.73,115.15,32.415000000000006
28.28,1.0,2,3.15,103.28,77.5496
46.87,1.0,1,3.89,31.51,92.6832
35.11,1.0,2,3.29,42.67,70.2411
28.93,2.0,1,3.31,29.14,74.5744
5.76,3.0,3,2.93,61.57,19.3694
31.14,1.0,1,4.29,7.26,35.4798
37.3,1.0,3,4.21,97.47,107.7025
116.196063616616,2.0,1,2.2,19.63,206.69956969976877
139.06223019422194,1.0,2,2.8,50.83,276.84059674137075
40.66,2.0,1,3.9,34.29,41.4292
43.49,1.0,1,2.77,68.97,79.6245
45.75,2.0,2,4.16,52.31,50.5038
40.12,3.0,1,3.88,116.97,96.546
32.85,2.0,1,2.44,31.52,54.4414
39.99,3.0,1,2.71,43.98,39.538
17.56,1.0,1,3.22,103.66,36.0458
29.34,3.0,1,2.05,70.14,82.3678
23.81,2.0,2,2.81,62.02,63.1719
15.04,1.0,1,5.0,15.09,33.4311
29.95,3.0,1,2.63,81.84,69.47070000000001
2.49,1.0,1,2.8,108.02,41.699
2.83,1.0,3,3.99,11.65,8.920300000000001
18.65,2.0,1,4.75,87.41,54.49459999999999
7.23,1.0,1,3.51,55.29,33.7491
26.59,2.0,1,4.39,51.41,34.2597
38.73,2.0,1,2.41,20.75,87.29869999999998
11.58,1.0,2,4.93,63.28,26.9202
31.52,1.0,1,4.89,19.55,29.0925
5.18,2.0,1,2.49,59.81,21.7323
3.53,1.0,1,2.9,92.82,16.1211
145.74705994904548,3.0,2,2.82,60.29,325.0989498083767
32.23,3.0,1,4.45,119.08,70.5144
48.82,3.0,1,2.27,101.76,99.5104
26.3,2.0,1,3.03,52.71,65.9299
16.82,1.0,3,4.94,93.3,65.1668
39.96,1.0,1,3.89,9.66,45.782
4.84,2.0,2,4.96,51.22,13.9136
2.24,1.0,1,4.46,102.26,19.9412
41.96,1.0,2,2.21,80.28,68.65440000000001
21.04,1.0,2,2.36,72.41,34.726
9.49,3.0,2,3.74,46.08,43.8894
8.67,3.0,2,4.79,71.36,53.1349
13.26,2.0,1,3.49,44.36,38.814400000000006
33.35,3.0,1,4.13,19.63,74.59979999999999
14.72,1.0,1,4.2,13.32,38.0988
47.79,1.0,1,2.52,106.03,71.3962
13.14,1.0,1,3.6,35.14,23.105000000000004
18.44,1.0,2,4.99,44.45,48.027
38.13,3.0,2,3.42,52.23,41.544
1.71,3.0,1,4.45,87.85,22.4347
3.0,1.0,1,3.79,9.82,8.729600000000001
42.92,3.0,1,4.66,62.85,71.095
35.48,1.0,1,3.23,72.19,81.39859999999999
116.66768073006573,3.0,1,3.81,110.82,248.29520891209057
5.79,2.0,1,3.89,10.65,19.973
25.09,2.0,3,3.25,70.95,73.5818
24.2,1.0,3,2.43,103.17,49.4676
9.49,2.0,1,2.28,32.82,12.9998
31.18,2.0,1,2.71,89.23,58.5727
32.12,3.0,2,2.63,112.31,86.89770000000001
3.22,2.0,1,4.21,80.58,32.151399999999995
19.36,2.0,2,2.96,55.49,38.3875
25.65,2.0,3,2.49,110.81,48.4142
42.97,1.0,1,4.88,59.08,108.9734
33.28,2.0,2,4.55,8.33,69.9494
8.98,3.0,1,4.59,84.33,38.1392
4.46,2.0,1,3.22,60.41,23.7068
32.48,1.0,1,4.29,19.3,41.65619999999999
2.3,1.0,1,2.43,29.64,13.4484
47.07,2.0,2,2.06,71.04,100.2662
29.2,3.0,2,3.76,76.53,59.87539999999999
20.02,3.0,1,3.37,63.16,23.1614
32.52,2.0,2,3.55,98.97,81.85180000000001
47.13,1.0,1,4.15,6.47,66.90710000000001
19.92,1.0,1,3.33,84.95,64.0787
45.36,2.0,1,2.7,70.04,54.436800000000005
4.4,1.0,2,3.77,45.28,16.834
5.94,1.0,1,2.63,110.47,58.6618
1.89,1.0,1,2.71,20.41,6.1269
34.47,3.0,1,4.49,5.5,41.834700000000005
4.49,1.0,1,3.25,111.33,45.75449999999999
16.63,2.0,1,2.77,17.94,27.6353
2.14,3.0,1,4.01,43.3,16.525599999999997
40.91,2.0,1,3.34,47.96,88.1071
14.81,1.0,2,3.46,29.64,20.3458
6.79,2.0,1,2.61,72.29,22.4883
35.14,2.0,1,3.88,55.94,48.006600000000006
31.82,3.0,2,3.08,8.93,37.1212
44.0,1.0,1,4.99,41.76,76.9996
40.37,3.0,2,3.46,84.32,116.42059999999998
14.82,3.0,1,3.7,88.36,31.609
9.69,2.0,1,4.75,85.28,37.0004
37.78,2.0,1,4.4,40.76,40.9764
40.53,2.0,1,3.35,16.46,58.6974
49.53,2.0,1,4.16,36.33,68.9135
21.22,2.0,1,3.76,100.66,73.21499999999999
19.23,2.0,1,3.48,117.75,89.472
17.7,2.0,1,3.39,6.12,27.174
46.61,3.0,1,2.74,21.11,97.7908
43.06,1.0,1,4.74,42.04,94.3478
37.79,2.0,1,4.86,13.64,44.6222
37.97,3.0,2,3.6,113.49,97.57659999999998
6.05,2.0,1,3.89,46.98,24.4754
25.76,3.0,1,2.39,94.76,36.7152
41.5,1.0,1,3.13,91.88,102.72459999999998
44.88,2.0,1,3.87,77.08,68.4404
20.07,2.0,3,3.34,78.37,32.155
45.36,2.0,2,2.66,68.68,101.2576
104.37179088913676,1.0,2,3.22,89.21,206.50865196831717
47.55,1.0,1,4.78,94.35,123.928
47.58,1.0,1,4.13,105.33,74.8463
29.1,3.0,1,3.26,29.8,30.698
22.97,1.0,2,2.25,60.53,31.8132
5.47,2.0,1,2.52,75.75,19.8829
25.23,1.0,2,3.94,100.22,51.0291
27.93,1.0,1,4.15,73.35,34.4608
44.5,2.0,1,4.02,23.88,80.18099999999998
6.74,1.0,2,4.68,117.71,34.5311
38.31,1.0,1,2.99,31.15,40.2799
31.29,2.0,3,2.74,24.7,46.8086
5.96,1.0,1,4.96,81.77,27.8795
5.12,1.0,1,3.17,75.09,28.7693
35.35,2.0,1,4.2,79.01,58.825
4.57,2.0,2,4.05,15.12,13.0646
41.27,1.0,1,2.64,107.76,106.2963
5.16,2.0,1,3.23,58.17,26.6477
47.42,1.0,2,3.02,104.35,97.4848
37.92,2.0,2,2.02,112.04,77.56840000000001
28.36,3.0,1,2.48,99.77,49.7657
21.79,3.0,1,4.37,5.61,31.7717
45.41,1.0,1,3.85,69.95,35.4031
6.45,1.0,1,2.13,44.01,33.5331
25.14,3.0,2,3.87,42.11,43.069700000000005
1.56,3.0,1,2.93,79.16,34.2628
6.76,2.0,1,3.2,35.43,27.9315
29.59,2.0,2,4.32,6.34,49.36
48.15,1.0,1,3.45,69.03,72.6627
19.37,2.0,1,4.69,81.08,26.9741
15.0,1.0,3,4.72,73.07,46.46469999999999
43.56,1.0,2,2.26,89.67,57.426100000000005
11.96,2.0,3,4.81,70.7,41.71940000000001
48.2,1.0,1,4.48,12.68,68.63480000000001
3.11,1.0,1,4.42,36.62,12.1141
44.67,2.0,2,4.55,14.16,61.09400000000001
26.86,1.0,1,2.87,54.4,55.1892
49.66,3.0,1,4.86,68.75,72.969
48.5,1.0,1,3.61,79.03,114.9417
26.63,2.0,1,3.73,43.27,35.08540000000001
31.84,3.0,3,3.94,91.81,45.6194
107.78683195771164,3.0,1,2.05,79.6,322.7259960920446
23.27,1.0,1,4.88,78.31,78.85079999999999
29.63,3.0,1,2.43,6.31,56.345600000000005
3.23,1.0,2,3.7,48.24,27.1606
14.77,2.0,1,4.8,113.4,54.42370000000001
47.57,1.0,2,4.0,99.07,80.81119999999999
44.62,3.0,2,4.47,72.58,60.9462
31.39,1.0,1,3.63,28.43,36.0271
23.72,2.0,1,2.22,39.05,52.9083
18.31,2.0,2,4.05,64.22,42.6209
29.6,1.0,1,3.51,24.02,52.2336
4.81,1.0,1,4.3,117.44,46.1779
48.75,2.0,2,3.46,17.41,61.1936
49.32,1.0,1,2.45,112.17,88.6814
35.21,2.0,1,3.94,110.06,66.581
27.27,3.0,1,2.52,65.42,47.996
8.97,1.0,1,4.89,44.17,25.5304
31.06,1.0,1,4.41,37.97,48.4496
21.49,1.0,2,4.45,47.2,54.4139
43.44,1.0,1,3.51,11.01,39.9195
2.29,1.0,1,4.26,13.54,13.9334
19.45,3.0,1,2.4,16.93,24.0367
40.72,3.0,1,3.64,98.49,63.3579
49.38,1.0,1,3.64,9.47,57.153000000000006
30.11,2.0,1,3.25,36.34,54.1983
19.66,1.0,1,4.56,105.23,84.873
42.26,3.0,2,2.3,40.14,84.1558
42.08,2.0,2,2.27,64.53,73.86349999999999
23.97,3.0,1,2.79,48.93,45.2346
21.33,1.0,1,4.62,69.89,46.61750000000001
14.4,1.0,1,2.39,18.17,34.3543
3.76,2.0,2,4.16,119.65,45.31230000000001
43.37,1.0,1,2.3,53.94,56.61489999999999
40.83,2.0,1,3.87,45.05,75.92699999999999
49.99,1.0,1,3.07,86.67,80.7619
139.476514583775,1.0,1,4.37,46.85,296.0886973121837
28.22,3.0,1,2.7,100.83,55.7598
38.68,1.0,1,3.92,57.24,73.2164
47.29,3.0,1,2.71,87.75,97.75249999999998
13.12,2.0,3,4.62,102.3,64.9824
23.08,2.0,2,2.38,89.61,54.1212
7.33,2.0,2,4.6,29.35,29.9765
30.7,1.0,1,2.38,41.37,44.5307
12.2,2.0,1,3.28,117.25,35.284
33.91,2.0,1,2.48,34.54,40.3595
31.29,2.0,1,4.1,57.45,79.637
6.56,1.0,1,2.32,50.68,32.0088
26.5,3.0,1,4.44,114.61,77.4795
26.49,3.0,1,3.54,99.2,66.6318
42.76,2.0,2,4.85,67.92,71.5568
28.04,3.0,1,3.61,9.69,61.2568
28.49,2.0,1,3.18,41.23,53.8901
7.57,3.0,1,3.42,103.8,40.163
2.41,1.0,1,3.47,31.26,11.5061
38.0,3.0,1,4.54,30.31,83.6299
35.5,1.0,2,3.21,111.09,109.89649999999996
11.44,1.0,2,3.0,103.06,38.2552
7.68,2.0,1,3.48,94.11,60.32639999999999
18.18,3.0,2,2.72,63.0,46.316
29.91,1.0,1,4.38,58.4,52.678
45.3,2.0,2,2.32,8.51,37.7718
18.06,3.0,1,2.72,20.16,23.279
39.4,2.0,2,2.92,91.44,72.9188
20.43,2.0,1,2.51,53.63,52.6406
43.26,2.0,3,2.92,47.55,77.8741
8.21,2.0,1,2.97,95.18,46.49680000000001
46.4,1.0,1,3.63,92.78,101.9914
25.11,2.0,1,3.66,88.1,59.3324
23.5,2.0,1,3.34,43.87,36.9301
49.02,1.0,1,4.9,59.03,95.2278
25.14,2.0,2,3.13,43.04,40.2186
4.72,1.0,2,4.28,50.89,35.6928
7.32,2.0,1,2.62,117.69,58.9867
122.82019097975328,3.0,1,4.13,30.98,247.5983178992313
8.44,1.0,1,2.06,75.4,41.30720000000001
32.4,1.0,1,4.33,13.17,68.9296
9.91,2.0,2,3.02,61.11,38.348600000000005
17.94,3.0,1,3.69,85.75,58.0861
44.94,1.0,1,2.61,64.02,69.1938
9.44,1.0,1,4.56,14.92,12.6264
3.0,1.0,1,4.62,48.49,26.111700000000003
9.28,2.0,1,3.06,71.29,38.447500000000005
14.65,2.0,1,4.17,96.08,63.93
9.67,2.0,1,2.96,42.3,32.7178
5.35,1.0,1,4.72,87.36,22.8002
6.91,1.0,1,2.38,20.57,17.1693
23.58,2.0,1,2.54,38.5,29.778
18.85,1.0,1,2.25,98.29,48.1365
34.83,2.0,3,4.83,87.5,79.71459999999999
2.93,2.0,3,4.93,113.48,43.60339999999999
40.17,2.0,2,3.13,65.69,93.1014
31.77,1.0,1,4.77,67.1,72.9137
5.01,1.0,2,3.63,58.02,29.055300000000003
43.81,2.0,1,2.81,42.48,69.9316
46.12,1.0,1,4.11,59.7,102.4302
138.76388715029725,3.0,1,3.98,74.32,332.0436886774302
37.66,2.0,1,4.02,104.15,87.5241
10.04,1.0,1,2.16,107.25,44.4294
19.15,2.0,1,2.01,80.61,38.9965
24.74,3.0,1,5.0,107.93,88.8816
19.08,2.0,1,4.36,115.6,39.1976
23.66,2.0,1,3.53,52.82,25.8856
13.37,1.0,2,2.85,114.32,50.2412
35.95,1.0,1,3.13,33.13,49.78730000000001
27.07,2.0,1,2.23,35.88,31.2318
6.25,2.0,3,2.05,94.31,44.6322
12.88,1.0,1,4.8,42.13,43.9909
19.49,2.0,2,4.41,76.0,34.5781
6.87,3.0,1,4.35,89.4,60.315
44.64,2.0,2,2.5,52.27,78.7809
30.09,1.0,1,3.54,45.84,62.6715
39.67,2.0,1,3.88,52.06,61.871
25.42,2.0,1,4.84,67.58,54.7066
5.26,1.0,1,3.74,67.5,33.344
27.32,1.0,1,3.62,62.17,48.3843
29.76,2.0,2,2.15,20.5,62.7544
37.53,1.0,2,2.19,62.05,101.0292
22.15,1.0,1,2.56,24.45,32.985499999999995
7.25,1.0,1,2.1,19.51,17.9592
14.91,2.0,1,4.23,112.25,65.9698
18.79,3.0,2,4.17,74.57,45.1726
28.97,2.0,1,4.51,51.21,65.195
18.45,2.0,1,2.46,109.53,85.4652
30.68,2.0,1,2.75,93.45,72.16069999999999
5.99,2.0,1,2.76,115.4,41.014300000000006
13.05,1.0,1,3.22,103.2,38.9635
8.87,1.0,1,4.96,24.8,24.6913
9.5,1.0,1,2.16,36.15,29.2945
4.93,2.0,1,2.16,8.67,9.9494
26.7,2.0,1,4.51,13.75,50.789
21.11,3.0,1,3.54,36.5,30.4015
49.14,3.0,2,3.58,27.99,69.1972
20.49,3.0,1,2.51,96.76,74.2598
43.41,1.0,2,2.96,5.66,58.0149
41.04,2.0,1,3.78,54.37,44.101
13.64,2.0,2,2.63,51.91,26.076
9.37,2.0,1,2.35,18.1,20.3509
46.54,1.0,2,2.07,85.74,60.0264
28.28,2.0,2,4.41,87.9,71.6404
29.01,1.0,1,4.36,88.77,62.4379
14.72,2.0,1,2.89,5.01,20.9951
38.71,2.0,2,2.41,114.7,86.3545
16.86,2.0,1,4.09,108.96,75.7144
21.85,3.0,2,3.93,6.8,32.5735
12.88,2.0,2,4.81,98.13,32.2622
6.63,2.0,1,4.08,101.28,40.8036
30.92,1.0,2,2.47,15.73,46.5931
15.14,1.0,2,2.73,89.96,46.61319999999999
29.48,1.0,1,4.53,115.39,78.5578
24.58,2.0,1,2.22,70.61,58.59289999999999
27.1,3.0,1,4.11,113.75,53.040000000000006
3.54,1.0,3,3.21,55.94,20.2324
17.49,1.0,1,4.76,73.92,61.8896
4.11,1.0,3,2.27,112.28,51.6226
49.51,2.0,1,4.84,13.75,46.207800000000006
13.48,1.0,2,3.21,96.07,38.769
34.39,1.0,1,2.15,72.05,71.7971
38.25,1.0,2,3.49,109.53,67.24510000000001
24.11,2.0,1,3.2,12.4,26.263
21.18,1.0,2,3.05,51.27,46.1432
18.09,2.0,1,4.32,7.7,19.2698
46.55,3.0,1,4.41,42.88,83.375
41.7,1.0,1,2.46,66.74,80.7792
48.29,2.0,2,3.1,109.74,104.1555
36.81,1.0,1,2.45,19.66,78.95210000000002
46.98,1.0,1,4.4,15.7,101.6666
9.88,2.0,1,4.12,72.77,25.8142
37.31,3.0,1,3.1,35.63,54.9343
29.15,2.0,1,2.32,108.44,81.9816
39.97,2.0,2,4.96,107.38,47.846900000000005
9.05,2.0,1,3.74,59.73,19.1069
40.91,2.0,1,4.73,19.1,57.53359999999999
33.59,1.0,2,3.66,111.71,69.7245
43.98,1.0,1,4.53,47.22,72.8562
20.23,1.0,1,3.93,7.17,35.3812
41.01,2.0,1,3.95,16.56,84.7232
19.47,1.0,1,4.68,84.35,40.56649999999999
23.67,2.0,3,4.76,43.49,62.2353
37.63,2.0,1,3.63,85.34,38.6058
25.63,2.0,2,4.22,85.95,59.886
12.38,2.0,2,4.27,61.64,29.9606
19.81,1.0,2,2.5,61.26,43.8544
45.42,2.0,1,4.16,27.93,50.89789999999999
6.73,1.0,1,3.39,9.87,20.0083
47.05,1.0,3,2.52,77.86,128.6549
31.76,1.0,1,3.01,33.58,34.952
7.82,1.0,2,3.2,93.64,36.1464
39.91,2.0,1,3.65,42.63,75.4875
31.38,3.0,1,3.86,32.85,28.6304
27.14,2.0,1,3.99,24.44,31.4354
44.8,1.0,1,4.51,94.11,108.2325
39.64,2.0,2,2.65,19.92,57.3952
13.18,2.0,1,2.47,84.05,55.86
37.45,1.0,1,4.92,77.83,32.2063
2.64,2.0,3,4.53,98.23,51.2833
28.92,2.0,1,3.5,10.15,22.5469
38.36,2.0,1,4.94,39.09,49.3168
43.96,1.0,1,2.29,37.22,59.0718
41.24,3.0,1,3.91,38.26,60.92600000000001
42.48,3.0,1,4.79,65.02,96.7288
7.25,1.0,1,2.2,81.33,23.3579
8.35,2.0,1,3.96,43.66,36.5375
12.23,2.0,1,2.77,38.38,25.9025
32.42,1.0,1,2.58,14.18,49.852
35.0,1.0,3,4.48,53.07,64.2861
27.59,2.0,1,3.69,113.43,75.27289999999999
9.9,2.0,1,2.62,102.33,45.4312
45.51,2.0,2,3.71,89.21,100.305
29.59,3.0,3,4.6,75.26,64.73160000000001
8.51,2.0,1,2.43,63.88,47.177
25.79,2.0,1,4.86,66.91,30.5797
30.96,3.0,1,2.96,69.98,53.9468
43.73,1.0,1,4.64,108.76,138.6425
35.14,2.0,1,4.17,113.49,53.550900000000006
46.2,2.0,1,2.93,16.33,77.40390000000001
35.65,1.0,2,4.35,35.49,43.8543
8.47,3.0,1,3.33,61.93,25.4565
30.73,2.0,2,4.33,63.09,72.553
46.78,2.0,1,3.13,34.03,90.7801
46.35,2.0,1,3.1,89.15,68.52850000000001
6.55,2.0,2,4.43,45.41,21.6555
49.26,1.0,1,3.09,35.46,109.4304
42.11,3.0,1,3.57,45.23,67.3902
7.11,1.0,2,4.01,86.46,20.2751
43.62,3.0,1,2.83,68.86,46.90559999999999
26.42,1.0,1,4.8,16.49,60.7394
29.97,2.0,1,4.17,97.58,64.86420000000001
20.55,1.0,3,3.73,47.54,53.16
3.68,2.0,1,3.94,79.58,43.224
17.42,2.0,1,2.09,88.42,62.0624
40.34,2.0,1,3.85,29.11,43.31230000000001
20.51,2.0,3,3.08,54.3,50.07450000000001
27.33,3.0,1,2.24,25.97,22.0141
46.07,3.0,1,2.58,113.36,87.7201
17.97,1.0,1,4.85,91.83,33.3599
37.14,1.0,1,3.4,43.84,52.0972
23.17,1.0,1,4.15,93.07,78.1988
7.9,2.0,1,3.61,55.74,42.1098
25.42,1.0,3,2.73,49.45,49.1871
18.76,3.0,1,2.57,117.24,53.4536
1.64,2.0,2,2.74,82.51,41.3681
33.51,1.0,2,3.94,67.27,61.9923
9.72,3.0,1,3.95,101.99,36.2571
48.09,3.0,1,4.47,92.6,90.4747
8.28,2.0,3,3.25,11.7,19.4986
49.85,2.0,1,4.94,104.35,76.737
25.61,3.0,1,3.79,79.89,66.9097
30.17,2.0,1,4.13,103.47,99.0039
4.29,2.0,2,2.02,17.92,13.9727
37.75,2.0,3,3.55,44.99,30.0888
45.0,3.0,1,3.71,28.19,72.13080000000001
11.05,2.0,1,4.76,14.0,15.5675
4.22,1.0,1,4.02,83.98,25.095
39.0,1.0,1,2.19,64.81,90.8983
23.21,2.0,1,3.4,100.48,45.85979999999999
26.7,2.0,1,2.72,53.21,47.8069
22.6,2.0,1,3.41,27.31,51.058800000000005
20.64,1.0,1,3.37,37.76,40.2564
28.42,2.0,3,3.75,63.09,59.74210000000001
8.61,1.0,1,3.07,66.1,32.2544
43.23,1.0,2,3.51,96.01,70.8329
19.29,1.0,1,3.99,94.79,48.2843
2.24,2.0,1,2.63,13.69,8.6709
8.65,2.0,2,2.12,33.37,16.1592
33.29,3.0,1,4.48,52.09,50.996100000000006
11.88,2.0,1,4.67,39.27,22.7573
12.32,1.0,1,3.8,6.37,19.9427
33.92,1.0,1,3.59,39.58,36.09780000000001
1.97,2.0,1,2.08,71.48,32.428200000000004
40.2,3.0,1,3.38,66.51,78.18800000000002
9.75,2.0,1,3.89,105.81,45.2855
32.98,3.0,1,3.67,109.94,78.64779999999999
5.87,1.0,1,2.84,58.15,28.0701
36.39,1.0,1,2.26,114.15,94.5643
42.93,2.0,1,3.24,119.84,43.19980000000001
20.46,1.0,1,4.08,88.6,65.232
33.74,3.0,2,4.97,48.47,56.3682
